Cbench started.
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
  0.68   463.99      0.73    60065     0.01     0.26  BinData::SanitizedPrototype#instantiate
  0.68   464.72      0.73    50989     0.01     0.42  BinData::Struct#instantiate_all_objs
  0.67   465.44      0.72    20604     0.03     0.21  BinData::BasePrimitive#do_write
  0.66   466.15      0.71    60019     0.01     0.07  BinData::SanitizedFields#field_names
  0.58   466.77      0.62    28693     0.02     1.99  BinData::Struct#do_read
  0.56   467.37      0.60     9094     0.07     0.11  Pio::Mac#to_s
  0.55   467.96      0.59    22300     0.03     0.09  BinData::BasePrimitive#respond_to?
  0.55   468.55      0.59   139954     0.00     0.00  Symbol#to_s
  0.51   469.10      0.55     9929     0.06     1.26  BinData::Struct#initialize_shared_instance
  0.50   469.64      0.54    20604     0.03     0.03  BinData::IO::Write#write_raw
  0.49   470.17      0.53     6696     0.08     0.29  IPAddr#initialize
  0.48   470.69      0.52    24996     0.02     0.03  BinData::IO::Read::SeekableStream#read_raw
  0.48   471.21      0.52    24996     0.02     0.05  BinData::IO::Read#read
  0.48   471.73      0.52    15077     0.03     0.24  BinData::Uint8#assign
  0.47   472.24      0.51   179072     0.00     0.00  Hash#has_parameter?
  0.46   472.74      0.50    26358     0.02     0.12  Kernel#format
  0.46   473.24      0.50   142097     0.00     0.01  Hash#[]
  0.45   473.72      0.48    20604     0.02     0.08  BinData::IO::Write#writebytes
  0.44   474.19      0.47    33245     0.01     0.03  BinData::SanitizedPrototype#has_parameter?
  0.44   474.66      0.47    10321     0.05     5.65  BinData::Base#initialize_with_warning
  0.44   475.13      0.47     7172     0.07     0.08  IPAddr#set
  0.42   475.58      0.45    11980     0.04     0.05  BinData::Uint8#value_to_binary_string
  0.41   476.02      0.44    10321     0.04     0.63  BinData::Base#extract_args
  0.40   476.45      0.43    82999     0.01     0.01  Module#===
  0.39   476.87      0.42   153149     0.00     0.00  BasicObject#==
  0.39   477.29      0.42    33217     0.01     0.02  BinData::SanitizedFields#[]
  0.39   477.71      0.42    22281     0.02     2.07  BinData::Struct#do_write
  0.39   478.13      0.42    29075     0.01     0.02  Kernel#initialize_dup
  0.39   478.55      0.42    33216     0.01     0.34  BinData::SanitizedField#instantiate
  0.37   478.95      0.40    43174     0.01     0.07  BinData::SanitizedFields#any_field_has_parameter?
  0.36   479.34      0.39    30556     0.01     0.61  BinData::BasePrimitive#do_read
  0.35   479.72      0.38      909     0.42    29.48  Kernel#require
  0.35   480.10      0.38    10321     0.04     5.58  BinData::Base#initialize
  0.34   480.47      0.37    91333     0.00     0.00  Symbol#to_sym
  0.33   480.82      0.35    98209     0.00     0.00  BasicObject#singleton_method_added
  0.33   481.17      0.35    21803     0.02     0.02  BinData::IO::Write#flushbits
  0.33   481.52      0.35    16076     0.02     0.14  BinData::Uint8#read_and_return_value
  0.32   481.86      0.34    70261     0.00     0.00  String#sub
  0.31   482.19      0.33   104414     0.00     0.00  Fixnum#>
  0.31   482.52      0.33     7180     0.05     0.16  IPAddr#in_addr
  0.31   482.85      0.33    13440     0.02     0.39  Pio::Type::MacAddress#get
  0.31   483.18      0.33    10987     0.03     0.71  Hash#each
  0.30   483.50      0.32    10321     0.03     0.56  BinData::BaseArgProcessor#extract_args
  0.28   483.80      0.30   129274     0.00     0.00  BasicObject#!
  0.28   484.10      0.30    20152     0.01     0.13  BinData::InitialLengthPlugin#elements
  0.28   484.40      0.30    16371     0.02     0.02  Array#join
  0.27   484.69      0.29     2700     0.11     0.29  BinData::DSLMixin::DSLParser#to_struct_params
  0.27   484.98      0.29    11797     0.02     0.92  Array#each_index
  0.26   485.26      0.28     1436     0.19     0.24  Pio::Mac#parse_mac_string
  0.26   485.54      0.28    10135     0.03     0.05  BinData::DSLMixin::DSLParser#option?
  0.25   485.81      0.27    10274     0.03     0.17  Array#any?
  0.25   486.08      0.27     6462     0.04     0.05  BinData::Uint16be#value_to_binary_string
  0.24   486.34      0.26    14469     0.02     0.02  BinData::Base.arg_processor
  0.24   486.60      0.26     8636     0.03     8.76  BinData::Struct#assign_fields
  0.24   486.86      0.26     6469     0.04     0.19  BinData::String#clamp_to_length
  0.23   487.11      0.25    81037     0.00     0.00  Kernel#respond_to_missing?
  0.23   487.36      0.25      240     1.04   422.54  Trema::Controller#handle_openflow_message
  0.23   487.61      0.25    83257     0.00     0.00  Kernel#is_a?
  0.23   487.86      0.25    32639     0.01     0.01  String#unpack
  0.23   488.11      0.25    12943     0.02     0.37  BinData::Base#==
  0.23   488.36      0.25     4329     0.06     0.29  Range#each
  0.23   488.61      0.25     7426     0.03     0.07  BinData::Base#binary_string
  0.23   488.86      0.25    14615     0.02     0.10  BinData::BasePrimitive::ValuePlugin#_value
  0.22   489.10      0.24    20620     0.01     0.36  BinData::Array#each
  0.22   489.34      0.24     5760     0.04     0.25  BinData::LazyEvaluator#resolve_symbol_in_parent_context
  0.22   489.58      0.24     4977     0.05     0.09  Hash#fetch
  0.21   489.81      0.23     7520     0.03     1.04  BinData::Primitive#initialize_instance
  0.21   490.04      0.23    17232     0.01     0.54  BinData::Array#to_storage_formats
  0.21   490.27      0.23    33245     0.01     0.03  BinData::SanitizedField#has_parameter?
  0.20   490.49      0.22     3945     0.06     1.00  BinData::SanitizedParameters#sanitize!
  0.20   490.71      0.22    63754     0.00     0.00  Kernel#initialize_copy
  0.20   490.93      0.22    10321     0.02     0.07  BinData::RegisterNamePlugin#initialize_shared_instance
  0.20   491.15      0.22    17476     0.01     0.09  BinData::BasePrimitive::InitialValuePlugin#_value
  0.20   491.37      0.22    85253     0.00     0.00  Fixnum#<
  0.20   491.58      0.21      185     1.14    21.57  Kernel#gem_original_require
  0.20   491.79      0.21    26849     0.01     0.19  BinData::Array#new_element
  0.19   491.99      0.20     8117     0.02     0.03  BinData::SanitizedParameters#needs_sanitizing?
  0.19   492.19      0.20    68748     0.00     0.00  Array#index
  0.19   492.39      0.20    14860     0.01     0.39  BinData::InitialLengthPlugin#do_read
  0.19   492.59      0.20     6214     0.03     0.20  IPAddr#coerce_other
  0.19   492.79      0.20     5163     0.04     0.33  Array#map
  0.19   492.99      0.20    31239     0.01     0.01  Exception#initialize
  0.19   493.19      0.20    10321     0.02     0.04  BinData::CheckOrAdjustOffsetPlugin#initialize_shared_instance
  0.18   493.38      0.19     5519     0.03     1.40  BinData::LazyEvaluator#lazy_eval
  0.18   493.57      0.19    11496     0.02     0.34  BinData::Array#do_write
  0.18   493.76      0.19    14615     0.01     0.02  BinData::Base#furthest_ancestor
  0.18   493.95      0.19    82095     0.00     0.00  Hash#[]=
  0.18   494.14      0.19     9929     0.02     0.72  Enumerable#each_with_index
  0.17   494.32      0.18     5512     0.03     0.07  BinData::Struct#field_names
  0.17   494.50      0.18     7483     0.02     0.06  BinData::SanitizedParameters#ensure_mutual_exclusion_of_parameters
  0.17   494.68      0.18     5517     0.03     0.13  BinData::Uint16be#read_and_return_value
  0.16   494.85      0.17    14615     0.01     0.03  BinData::Base#reading?
  0.16   495.02      0.17    33216     0.01     0.01  Array#[]=
  0.16   495.19      0.17     9582     0.02     0.03  Kernel#raise
  0.16   495.36      0.17    26195     0.01     0.01  StringIO#read
  0.15   495.52      0.16    78091     0.00     0.00  Fixnum#&
  0.15   495.68      0.16     1926     0.08     0.43  BinData::IO::Read#initialize
  0.15   495.84      0.16     4984     0.03     0.10  BinData::SanitizedFields#has_field_name?
  0.15   496.00      0.16     4788     0.03     0.53  Pio::Mac#==
  0.15   496.16      0.16    49810     0.00     0.00  BinData::BasePrimitive#initialize_instance
  0.14   496.31      0.15     6874     0.02     0.06  BinData::SanitizedParameters#ensure_mandatory_parameters_exist
  0.14   496.46      0.15     2724     0.06     0.35  BinData::DSLMixin::DSLParser#dsl_params
  0.14   496.61      0.15     5258     0.03     0.27  IPAddr#==
  0.13   496.75      0.14     5990     0.02     0.27  BinData::String#snapshot
  0.13   496.89      0.14    10321     0.01     0.32  BinData::SanitizedParameters.sanitize
  0.13   497.03      0.14     2700     0.05     0.12  BinData::StructArgProcessor#sanitize_endian
  0.12   497.16      0.13    68816     0.00     0.00  String#to_sym
  0.12   497.29      0.13     2402     0.05     0.52  Integer#times
  0.12   497.42      0.13     5764     0.02     0.37  BinData::LazyEvaluator#method_missing
  0.12   497.55      0.13     2394     0.05    13.02  BinData::Primitive#assign
  0.12   497.68      0.13     3346     0.04     0.34  BinData::Uint16be#assign
  0.11   497.80      0.12    18830     0.01     0.01  String#==
  0.11   497.92      0.12     1436     0.08     0.65  Pio::IPv4Address#to_a
  0.11   498.04      0.12     2393     0.05     5.14  Kernel#inspect
  0.11   498.16      0.12      956     0.13     0.41  IPAddr#to_range
  0.10   498.27      0.11     5788     0.02     0.02  Array#-
  0.10   498.38      0.11     3125     0.04     0.09  BinData::IO.create_string_io
  0.10   498.49      0.11     3111     0.04     3.49  Pio::OpenFlow13::StatsRequest#stats_flags
  0.10   498.60      0.11      717     0.15     0.78  Pio::OpenFlow::Port#set
  0.10   498.71      0.11    36597     0.00     0.00  Kernel#class
  0.10   498.82      0.11     3195     0.03     0.09  BinData::DSLMixin::DSLParser#hide
  0.10   498.93      0.11     1926     0.06    15.01  BinData::Base#read
  0.10   499.04      0.11     1266     0.09     0.09  Array#&
  0.10   499.15      0.11    21087     0.01     0.01  Fixnum#to_s
  0.10   499.26      0.11     5760     0.02     0.09  BinData::LazyEvaluator#recursively_eval
  0.10   499.37      0.11      240     0.46   109.04  PacketIn(open_flow_version: uint8, message_type: uint8, message_length: uint16, transaction_id: uint32, buffer_id: uint32, total_length: uint16, in_port: uint16, reason: symbol, raw_data: string)#inspect
  0.10   499.48      0.11     5258     0.02     0.29  Pio::IPv4Address#==
  0.10   499.59      0.11    36404     0.00     0.00  Array#at
  0.10   499.70      0.11    13708     0.01     0.01  Fixnum#inspect
  0.10   499.81      0.11     4025     0.03     0.07  BinData::SanitizedParameters#merge_default_parameters!
  0.09   499.91      0.10     1912     0.05     0.05  BinData::IO::Read#mask
  0.09   500.01      0.10     5760     0.02     0.35  BinData::LazyEvaluator#eval_symbol_in_parent_context
  0.09   500.11      0.10    43945     0.00     0.00  String#size
  0.09   500.21      0.10    45281     0.00     0.00  NilClass#nil?
  0.09   500.31      0.10     2977     0.03     0.04  BinData::AcceptedParametersPlugin::AcceptedParameters#mutually_exclusive
  0.09   500.41      0.10     3645     0.03     0.07  Pio::OpenFlow::Parser.find_by_type!
  0.09   500.51      0.10     2409     0.04     0.27  BinData::MultiFieldArgSeparator#parameters_is_value?
  0.09   500.61      0.10     2700     0.04     0.43  BinData::StructArgProcessor#sanitize_parameters!
  0.09   500.71      0.10     7191     0.01     0.01  Regexp#match
  0.08   500.80      0.09      717     0.13     0.13  Pio::OpenFlow::Port#max
  0.08   500.89      0.09     4899     0.02     0.02  BinData::SanitizedParameters#ensure_no_nil_values
  0.08   500.98      0.09     4899     0.02     0.84  BinData::SanitizedParameters#initialize
  0.08   501.07      0.09     2494     0.04     0.84  BinData::RecordArgProcessor#sanitize_parameters!
  0.08   501.16      0.09     3352     0.03     0.39  Pio::IPv4Address#initialize
  0.08   501.25      0.09     3947     0.02     0.04  BinData::AcceptedParametersPlugin#default_parameters
  0.08   501.34      0.09     9936     0.01     0.70  BinData::SanitizedFields#each
  0.08   501.43      0.09     4651     0.02     0.74  BinData::DSLMixin#method_missing
  0.07   501.51      0.08      956     0.08     0.29  BinData::IO::Read#read_big_endian_bits
  0.07   501.59      0.08    20330     0.00     0.01  Fixnum#===
  0.07   501.67      0.08     3120     0.03     5.41  Pio::OpenFlow10::Match#initialize
  0.07   501.75      0.08     2035     0.04     0.05  Kernel#extend
  0.07   501.83      0.08     3111     0.03     0.27  Pio::Ethernet#vlan?
  0.07   501.91      0.08    15157     0.01     0.01  Module#==
  0.07   501.99      0.08     5745     0.01     0.50  Enumerable#map
  0.07   502.07      0.08    10713     0.01     0.01  String#to_s
  0.07   502.15      0.08    12141     0.01     0.01  Array#include?
  0.07   502.23      0.08    10882     0.01     0.01  BinData::AcceptedParametersPlugin#accepted_parameters
  0.07   502.31      0.08     4071     0.02     4.12  BinData::Primitive#do_write
  0.07   502.39      0.08    21660     0.00     0.00  Exception#exception
  0.07   502.47      0.08     5746     0.01     0.02  String#match
  0.07   502.55      0.08      958     0.08     0.09  IPAddr#mask!
  0.07   502.63      0.08     9910     0.01     0.01  Array#compact
  0.07   502.71      0.08     4711     0.02     0.06  Hash#each_pair
  0.07   502.78      0.07    13260     0.01     0.01  Integer#chr
  0.07   502.85      0.07      972     0.07     0.15  Trema::Switch#drain
  0.07   502.92      0.07     9580     0.01     0.01  Exception.exception
  0.07   502.99      0.07     2409     0.03     0.40  BinData::MultiFieldArgSeparator#separate_args
  0.07   503.06      0.07     4790     0.01     1.63  Pio::OpenFlow10::Match::MatchIpAddress#get
  0.07   503.13      0.07     2868     0.02     0.39  Pio::OpenFlow10::FlowMod::Flags#get
  0.07   503.20      0.07    16564     0.00     0.00  Array#<<
  0.07   503.27      0.07       12     5.83     7.50  #<BinData::Struct:0x007fbc89574908>.port=
  0.07   503.34      0.07      578     0.12     0.35  Gem::Dependency#initialize
  0.07   503.41      0.07     1702     0.04     0.08  Gem::Requirement#initialize
  0.07   503.48      0.07      536     0.13     0.22  Enumerable#sort_by
  0.07   503.55      0.07     1181     0.06     0.67  Bundler::SpecSet#for
  0.07   503.62      0.07    24918     0.00     0.00  Fixnum#-
  0.07   503.69      0.07    24518     0.00     0.00  BinData::IO::Read#reset_read_bits
  0.07   503.76      0.07    24996     0.00     0.00  BinData::IO::Read::SeekableStream#raw_io
  0.07   503.83      0.07     2408     0.03     2.60  BasicObject#instance_exec
  0.07   503.90      0.07     3707     0.02    29.19  nil#
  0.07   503.97      0.07     5760     0.01     0.02  BinData::Base#safe_respond_to?
  0.06   504.03      0.06    31240     0.00     0.00  Exception#backtrace
  0.06   504.09      0.06    13987     0.00     0.00  String#+
  0.06   504.15      0.06     1199     0.05    17.16  BinData::Base#write
  0.06   504.21      0.06     6225     0.01     0.05  BinData::Struct#as_stringified_hash
  0.06   504.27      0.06      239     0.25    82.55  Trema::Controller#send_message
  0.06   504.33      0.06     4140     0.01     0.02  BinData::AcceptedParametersPlugin::AcceptedParameters#mandatory
  0.06   504.39      0.06     7814     0.01     0.01  Hash#initialize
  0.06   504.45      0.06      960     0.06     0.08  BinData::Uint32be#value_to_binary_string
  0.06   504.51      0.06     1434     0.04     0.77  IPAddr#inspect
  0.06   504.57      0.06       96     0.63     1.46  #<BinData::Struct:0x00000002712080>.flags
  0.06   504.63      0.06     4280     0.01     0.06  BinData::DSLMixin::DSLFieldValidator#option?
  0.06   504.69      0.06    32662     0.00     0.00  Array#length
  0.06   504.75      0.06     1088     0.06     0.53  BinData::DSLMixin::DSLFieldValidator#ensure_valid_name
  0.06   504.81      0.06    13097     0.00     0.00  BinData::DSLMixin::DSLParser#parser_abilities
  0.06   504.87      0.06    16840     0.00     0.00  Array#last
  0.06   504.93      0.06     1921     0.03     0.04  Pio::Mac#validate_value_range
  0.06   504.99      0.06    20604     0.00     0.00  StringIO#write
  0.06   505.05      0.06     3111     0.02     0.03  BinData::Struct::Snapshot#method_missing
  0.06   505.11      0.06      486     0.12     0.76  BinData::BasePrimitive::AssertPlugin#assert!
  0.06   505.17      0.06     5946     0.01     0.02  BinData::DSLMixin::DSLParser#fields
  0.06   505.23      0.06    22816     0.00     0.00  Fixnum#+
  0.06   505.29      0.06     2872     0.02     1.69  BinData::Array#assign
  0.06   505.35      0.06     2268     0.03     0.04  Trema::Logger#output
  0.05   505.40      0.05     4135     0.01     0.03  Hash#key?
  0.05   505.45      0.05     2870     0.02     0.10  BinData::Primitive#respond_to?
  0.05   505.50      0.05     2613     0.02     0.02  BinData::SanitizedParameters#create_sanitized_endian
  0.05   505.55      0.05      478     0.10     0.96  Pio::IPv4Address#prefixlen
  0.05   505.60      0.05     1442     0.03     0.26  BinData::Uint32be#assign
  0.05   505.65      0.05     2700     0.02     0.22  BinData::StructArgProcessor#sanitize_hide
  0.05   505.70      0.05    24996     0.00     0.00  BinData::IO::Read#buffer_limited_n
  0.05   505.75      0.05     2021     0.02     0.02  Regexp#===
  0.05   505.80      0.05     2786     0.02     0.06  BinData::AcceptedParametersPlugin#mutually_exclusive_parameters
  0.05   505.85      0.05     2635     0.02     6.90  BinData::Base#inspect
  0.05   505.90      0.05     3957     0.01     0.04  BinData::AcceptedParametersPlugin#mandatory_parameters
  0.05   505.95      0.05     1098     0.05     0.15  BinData::Registry#normalize_name
  0.05   506.00      0.05     1088     0.05     0.40  BinData::DSLMixin::DSLFieldParser#initialize
  0.05   506.05      0.05     1098     0.05     0.20  BinData::Registry#lookup
  0.05   506.10      0.05      361     0.14     1.91  Module#module_eval
  0.05   506.15      0.05      172     0.29     3.84  Gem::Specification.load
  0.05   506.20      0.05     1123     0.04     0.12  Gem::Dependency#hash
  0.05   506.25      0.05     1235     0.04     0.15  BinData::Uint32be#read_and_return_value
  0.05   506.30      0.05     8382     0.01     0.02  BinData::DSLMixin::DSLParser#endian
  0.05   506.35      0.05     1088     0.05     0.78  BinData::DSLMixin::DSLFieldValidator#validate_field
  0.05   506.40      0.05     2910     0.02     2.96  Enumerable#each_with_object
  0.05   506.45      0.05     9934     0.01     0.01  BinData::Struct#initialize_instance
  0.05   506.50      0.05     1926     0.03    19.27  BinData::Base.read
  0.05   506.55      0.05    20906     0.00     0.00  Symbol#inspect
  0.05   506.60      0.05     2700     0.02     0.05  BinData::StructArgProcessor#sanitize_fields
  0.05   506.65      0.05    14976     0.00     0.00  String#length
  0.05   506.70      0.05    10551     0.00     0.00  String#force_encoding
  0.05   506.75      0.05     1199     0.04    17.32  BinData::Base#to_binary_s
  0.05   506.80      0.05     4835     0.01     2.95  BinData::Primitive#read_and_return_value
  0.05   506.85      0.05     1221     0.04     0.34  Pio::OpenFlow10::Match::Wildcards#set
  0.04   506.89      0.04     1436     0.03     0.09  Pio::Mac#to_str
  0.04   506.93      0.04      239     0.17    68.12  Pio::IPv4#to_exact_match
  0.04   506.97      0.04    35661     0.00     0.00  Fixnum#zero?
  0.04   507.01      0.04     1447     0.03     0.06  BinData::BasePrimitive#eql?
  0.04   507.05      0.04     2390     0.02     0.63  Pio::Type::IpAddress#get
  0.04   507.09      0.04     2666     0.02     0.18  Gem::Specification#initialize
  0.04   507.13      0.04      928     0.04     0.43  BinData::DSLMixin::DSLFieldValidator#duplicate_name?
  0.04   507.17      0.04     1671     0.02     0.41  Bundler::Definition#converge_locked_specs
  0.04   507.21      0.04     2079     0.02     0.02  Hash#include?
  0.04   507.25      0.04      207     0.19     0.48  Gem::Dependency#==
  0.04   507.29      0.04      388     0.10     0.26  BinData::BasePrimitive#initialize_shared_instance
  0.04   507.33      0.04    17599     0.00     0.00  Fixnum#*
  0.04   507.37      0.04     1088     0.04     2.38  BinData::DSLMixin::DSLParser#method_missing
  0.04   507.41      0.04     5081     0.01     0.01  String#split
  0.04   507.45      0.04     1926     0.02     0.03  BinData::IO::Read#seekable?
  0.04   507.49      0.04     4788     0.01     0.01  NilClass#inspect
  0.04   507.53      0.04     2403     0.02     0.08  BinData::BasePrimitive#hash
  0.04   507.57      0.04     8509     0.00     0.00  Kernel#kind_of?
  0.04   507.61      0.04     3530     0.01     0.01  String#=~
  0.04   507.65      0.04     7924     0.01     0.01  Fixnum#|
  0.04   507.69      0.04    19663     0.00     0.00  Integer#to_int
  0.03   507.72      0.03      484     0.06     0.08  MonkeyPatch::Integer::Ranges#_within_range?
  0.03   507.75      0.03    12151     0.00     0.00  Array#initialize_copy
  0.03   507.78      0.03     2408     0.01     0.01  BinData::Struct#clear
  0.03   507.81      0.03      965     0.03     0.07  BinData::IO::Read#read_all_bytes
  0.03   507.84      0.03    20209     0.00     0.00  Symbol#==
  0.03   507.87      0.03     5312     0.01     0.01  Array#first
  0.03   507.90      0.03      242     0.12    59.42  Trema::Switch#write
  0.03   507.93      0.03      717     0.04     0.13  BinData::IO::Read#accumulate_big_endian_bits
  0.03   507.96      0.03      722     0.04     0.73  BinData::MultiFieldArgSeparator#field_names_in_parameters?
  0.03   507.99      0.03      478     0.06     3.12  Pio::OpenFlow::Actions10#set
  0.03   508.02      0.03     1088     0.03     0.33  BinData::DSLMixin::DSLFieldParser#params_from_field_declaration
  0.03   508.05      0.03      342     0.09     0.09  BinData::Registry#name_with_endian
  0.03   508.08      0.03    24441     0.00     0.00  Fixnum#>=
  0.03   508.11      0.03     3125     0.01     0.01  StringIO#initialize
  0.03   508.14      0.03    11972     0.00     0.00  String#hex
  0.03   508.17      0.03      243     0.12     9.51  Trema::Switch#read_openflow_binary
  0.03   508.20      0.03     1434     0.02     0.14  Pio::Mac#inspect
  0.03   508.23      0.03      239     0.13     0.42  Pio::OpenFlow10::FlowMod::Command#get
  0.03   508.26      0.03       12     2.50     2.50  #<BinData::Struct:0x000000035f5ca0>.port=
  0.03   508.29      0.03       96     0.31     0.42  #<BinData::Struct:0x000000033cdfe0>.flags
  0.03   508.32      0.03      238     0.13     0.17  BinData::DSLMixin::DSLParser#initialize
  0.03   508.35      0.03       83     0.36     0.36  Time.utc
  0.03   508.38      0.03     2699     0.01     0.04  Bundler::SpecSet#lookup
  0.03   508.41      0.03      970     0.03     0.07  BinData::DSLMixin::DSLParser#parent_attribute
  0.03   508.44      0.03      444     0.07     1.76  Pio::OpenFlow::Message.method_missing
  0.03   508.47      0.03      239     0.13     0.13  File.expand_path
  0.03   508.50      0.03     2041     0.01     0.04  Gem::Version#version
  0.03   508.53      0.03        2    15.00    30.00  Array#sort!
  0.03   508.56      0.03     8629     0.00     0.00  Kernel#hash
  0.03   508.59      0.03        1    30.00    30.00  #<Object:0x0000000186fed8>.replace
  0.03   508.62      0.03     1663     0.02     0.49  Bundler::SpecSet#tsort_each_child
  0.03   508.65      0.03     1663     0.02     0.35  TSort.each_strongly_connected_component_from
  0.03   508.68      0.03     1123     0.03     0.06  Gem::Requirement#hash
  0.03   508.71      0.03     1004     0.03     0.09  Gem::Specification._resort!
  0.03   508.74      0.03     1839     0.02     0.02  String#===
  0.03   508.77      0.03     3153     0.01     0.05  Array#hash
  0.03   508.80      0.03       75     0.40     1.07  Array#reverse_each
  0.03   508.83      0.03     1366     0.02     0.04  BinData::Registry#underscore_name
  0.03   508.86      0.03     1088     0.03     0.03  BinData::DSLMixin::DSLFieldParser#name_from_field_declaration
  0.03   508.89      0.03      981     0.03     0.03  Hash#invert
  0.03   508.92      0.03     4676     0.01     0.01  String#gsub
  0.03   508.95      0.03    16562     0.00     0.00  Array#pop
  0.03   508.98      0.03    20344     0.00     0.00  Fixnum#>>
  0.03   509.01      0.03     2949     0.01     0.02  Hash#==
  0.03   509.04      0.03    14066     0.00     0.00  String#initialize_copy
  0.03   509.07      0.03    10024     0.00     0.00  Kernel#freeze
  0.03   509.10      0.03     1436     0.02     0.19  Pio::Mac#to_a
  0.03   509.13      0.03      717     0.04     3.42  PacketIn(open_flow_version: uint8, message_type: uint8, message_length: uint16, transaction_id: uint32, buffer_id: uint32, total_length: uint16, in_port: uint16, reason: symbol, raw_data: string)#in_port
  0.03   509.16      0.03     5523     0.01     0.01  BinData::Base#lazy_evaluator
  0.03   509.19      0.03     7661     0.00     0.00  Array#pack
  0.03   509.22      0.03      956     0.03     0.39  BinData::IO::Read#readbits
  0.03   509.25      0.03      239     0.13     0.25  Pio::IPv4#ip_option_length
  0.03   509.28      0.03     3018     0.01     0.02  Module#const_get
  0.02   509.30      0.02    11913     0.00     0.00  Array#empty?
  0.02   509.32      0.02       79     0.25     0.38  #<BinData::Struct:0x007fbc8a6ee5a8>.octets
  0.02   509.34      0.02       79     0.25     0.25  #<BinData::Struct:0x007fbc8b9bc4f0>.octets
  0.02   509.36      0.02     1940     0.01     1.31  Enumerable#reduce
  0.02   509.38      0.02      239     0.08     0.08  Trema::Controller::FlowModAddOption#to_hash
  0.02   509.40      0.02      478     0.04    21.76  Pio::OpenFlow10::Match10#set
  0.02   509.42      0.02     1436     0.01     0.01  IPAddr#ipv4?
  0.02   509.44      0.02      484     0.04     0.64  Pio::OpenFlow::TransactionId#set
  0.02   509.46      0.02     1912     0.01     0.42  Pio::IPv4Address#to_range
  0.02   509.48      0.02     1154     0.02     0.02  Hash#values
  0.02   509.50      0.02    13179     0.00     0.00  String#to_i
  0.02   509.52      0.02     4193     0.00     0.00  Symbol#to_proc
  0.02   509.54      0.02     2411     0.01     0.25  Enumerable#inject
  0.02   509.56      0.02     1436     0.01     2.84  Pio::Type::MacAddress#set
  0.02   509.58      0.02     1436     0.01     2.18  Pio::OpenFlow10::Match::MatchIpAddress#set
  0.02   509.60      0.02      755     0.03     0.15  Trema::Logger#debug
